PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,method_category,deep_learning_method
38721977,Chest CT-based automated vertebral fracture assessment using artificial intelligence and morphologic features,"Nadeem SA, Comellas AP, Regan EA, Hoffman EA, Saha PK.",Med Phys. 2024 Jun;51(6):4201-4218. doi: 10.1002/mp.17072. Epub 2024 May 9.,Nadeem SA,Med Phys,2024,2024/05/09,,,10.1002/mp.17072,"BACKGROUND: Spinal degeneration and vertebral compression fractures are common among the elderly that adversely affect their mobility, quality of life, lung function, and mortality. Assessment of vertebral fractures in chronic obstructive pulmonary disease (COPD) is important due to the high prevalence of osteoporosis and associated vertebral fractures in COPD.
PURPOSE: We present new automated methods for (1) segmentation and labelling of individual vertebrae in chest computed tomography (CT) images using deep learning (DL), multi-parametric freeze-and-grow (FG) algorithm, and separation of apparently fused vertebrae using intensity autocorrelation and (2) vertebral deformity fracture detection using computed vertebral height features and parametric computational modelling of an established protocol outlined for trained human experts.
METHODS: A chest CT-based automated method was developed for quantitative deformity fracture assessment following the protocol by Genant et al. The computational method was accomplished in the following steps: (1) computation of a voxel-level vertebral body likelihood map from chest CT using a trained DL network; (2) delineation and labelling of individual vertebrae on the likelihood map using an iterative multi-parametric FG algorithm; (3) separation of apparently fused vertebrae in CT using intensity autocorrelation; (4) computation of vertebral heights using contour analysis on the central anterior-posterior (AP) plane of a vertebral body; (5) assessment of vertebral fracture status using ratio functions of vertebral heights and optimized thresholds. The method was applied to inspiratory or total lung capacity (TLC) chest scans from the multi-site Genetic Epidemiology of COPD (COPDGene) (ClinicalTrials.gov: NCT00608764) study, and the performance was examined (n = 3231). One hundred and twenty scans randomly selected from this dataset were partitioned into training (n = 80) and validation (n = 40) datasets for the DL-based vertebral body classifier. Also, generalizability of the method to low dose CT imaging (n = 236) was evaluated.
RESULTS: The vertebral segmentation module achieved a Dice score of .984 as compared to manual outlining results as reference (n = 100); the segmentation performance was consistent across images with the minimum and maximum of Dice scores among images being .980 and .989, respectively. The vertebral labelling module achieved 100% accuracy (n = 100). For low dose CT, the segmentation module produced image-level minimum and maximum Dice scores of .995 and .999, respectively, as compared to standard dose CT as the reference; vertebral labelling at low dose CT was fully consistent with standard dose CT (n = 236). The fracture assessment method achieved overall accuracy, sensitivity, and specificity of 98.3%, 94.8%, and 98.5%, respectively, for 40,050 vertebrae from 3231 COPDGene participants. For generalizability experiments, fracture assessment from low dose CT was consistent with the reference standard dose CT results across all participants.
CONCLUSIONS: Our CT-based automated method for vertebral fracture assessment is accurate, and it offers a feasible alternative to manual expert reading, especially for large population-based studies, where automation is important for high efficiency. Generalizability of the method to low dose CT imaging further extends the scope of application of the method, particularly since the usage of low dose CT imaging in large population-based studies has increased to reduce cumulative radiation exposure.",other,Not specified
34971977,Greedy Autoaugment for classification of mycobacterium tuberculosis image via generalized deep CNN using mixed pooling based on minimum square rough entropy,"Momeny M, Neshat AA, Gholizadeh A, Jafarnezhad A, Rahmanzadeh E, Marhamati M, Moradi B, Ghafoorifar A, Zhang YD.",Comput Biol Med. 2022 Feb;141:105175. doi: 10.1016/j.compbiomed.2021.105175. Epub 2021 Dec 27.,Momeny M,Comput Biol Med,2022,2021/12/31,,,10.1016/j.compbiomed.2021.105175,"Although tuberculosis (TB) is a disease whose cause, epidemiology and treatment are well known, some infected patients in many parts of the world are still not diagnosed by current methods, leading to further transmission in society. Creating an accurate image-based processing system for screening patients can help in the early diagnosis of this disease. We provided a dataset containing1078 confirmed negative and 469 positive Mycobacterium tuberculosis instances. An effective method using an improved and generalized convolutional neural network (CNN) was proposed for classifying TB bacteria in microscopic images. In the preprocessing phase, the insignificant parts of microscopic images are excluded with an efficient algorithm based on the square rough entropy (SRE) thresholding. Top 10 policies of data augmentation were selected with the proposed model based on the Greedy AutoAugment algorithm to resolve the overfitting problem. In order to improve the generalization of CNN, mixed pooling was used instead of baseline one. The results showed that employing generalized pooling, batch normalization, Dropout, and PReLU have improved the classification of Mycobacterium tuberculosis images. The output of classifiers such as Naïve Bayes-LBP, KNN-LBP, GBT-LBP, Naïve Bayes-HOG, KNN-HOG, SVM-HOG, GBT-HOG indicated that proposed CNN has the best results with an accuracy of 93.4%. The improvements of CNN based on the proposed model can yield promising results for diagnosing TB.",other,Not specified
34695111,OutbreakFlow: Model-based Bayesian inference of disease outbreak dynamics with invertible neural networks and its application to the COVID-19 pandemics in Germany,"Radev ST, Graw F, Chen S, Mutters NT, Eichel VM, Bärnighausen T, Köthe U.",PLoS Comput Biol. 2021 Oct 25;17(10):e1009472. doi: 10.1371/journal.pcbi.1009472. eCollection 2021 Oct.,Radev ST,PLoS Comput Biol,2021,2021/10/25,PMC8584772,,10.1371/journal.pcbi.1009472,"Mathematical models in epidemiology are an indispensable tool to determine the dynamics and important characteristics of infectious diseases. Apart from their scientific merit, these models are often used to inform political decisions and interventional measures during an ongoing outbreak. However, reliably inferring the epidemical dynamics by connecting complex models to real data is still hard and requires either laborious manual parameter fitting or expensive optimization methods which have to be repeated from scratch for every application of a given model. In this work, we address this problem with a novel combination of epidemiological modeling with specialized neural networks. Our approach entails two computational phases: In an initial training phase, a mathematical model describing the epidemic is used as a coach for a neural network, which acquires global knowledge about the full range of possible disease dynamics. In the subsequent inference phase, the trained neural network processes the observed data of an actual outbreak and infers the parameters of the model in order to realistically reproduce the observed dynamics and reliably predict future progression. With its flexible framework, our simulation-based approach is applicable to a variety of epidemiological models. Moreover, since our method is fully Bayesian, it is designed to incorporate all available prior knowledge about plausible parameter values and returns complete joint posterior distributions over these parameters. Application of our method to the early Covid-19 outbreak phase in Germany demonstrates that we are able to obtain reliable probabilistic estimates for important disease characteristics, such as generation time, fraction of undetected infections, likelihood of transmission before symptom onset, and reporting delays using a very moderate amount of real-world observations.",other,Not specified
35782182,Computer Audition for Fighting the SARS-CoV-2 Corona Crisis-Introducing the Multitask Speech Corpus for COVID-19,"Qian K, Schmitt M, Zheng H, Koike T, Han J, Liu J, Ji W, Duan J, Song M, Yang Z, Ren Z, Liu S, Zhang Z, Yamamoto Y, Schuller BW.",IEEE Internet Things J. 2021 Mar 22;8(21):16035-16046. doi: 10.1109/JIOT.2021.3067605. eCollection 2021 Nov 1.,Qian K,IEEE Internet Things J,2021,2022/07/05,PMC8768988,,10.1109/JIOT.2021.3067605,"Computer audition (CA) has experienced a fast development in the past decades by leveraging advanced signal processing and machine learning techniques. In particular, for its noninvasive and ubiquitous character by nature, CA-based applications in healthcare have increasingly attracted attention in recent years. During the tough time of the global crisis caused by the coronavirus disease 2019 (COVID-19), scientists and engineers in data science have collaborated to think of novel ways in prevention, diagnosis, treatment, tracking, and management of this global pandemic. On the one hand, we have witnessed the power of 5G, Internet of Things, big data, computer vision, and artificial intelligence in applications of epidemiology modeling, drug and/or vaccine finding and designing, fast CT screening, and quarantine management. On the other hand, relevant studies in exploring the capacity of CA are extremely lacking and underestimated. To this end, we propose a novel multitask speech corpus for COVID-19 research usage. We collected 51 confirmed COVID-19 patients' in-the-wild speech data in Wuhan city, China. We define three main tasks in this corpus, i.e., three-category classification tasks for evaluating the physical and/or mental status of patients, i.e., sleep quality, fatigue, and anxiety. The benchmarks are given by using both classic machine learning methods and state-of-the-art deep learning techniques. We believe this study and corpus cannot only facilitate the ongoing research on using data science to fight against COVID-19, but also the monitoring of contagious diseases for general purpose.",computer vision,Not specified
33457181,Deep Learning applications for COVID-19,"Shorten C, Khoshgoftaar TM, Furht B.",J Big Data. 2021;8(1):18. doi: 10.1186/s40537-020-00392-9. Epub 2021 Jan 11.,Shorten C,J Big Data,2021,2021/01/18,PMC7797891,,10.1186/s40537-020-00392-9,"This survey explores how Deep Learning has battled the COVID-19 pandemic and provides directions for future research on COVID-19. We cover Deep Learning applications in Natural Language Processing, Computer Vision, Life Sciences, and Epidemiology. We describe how each of these applications vary with the availability of big data and how learning tasks are constructed. We begin by evaluating the current state of Deep Learning and conclude with key limitations of Deep Learning for COVID-19 applications. These limitations include Interpretability, Generalization Metrics, Learning from Limited Labeled Data, and Data Privacy. Natural Language Processing applications include mining COVID-19 research for Information Retrieval and Question Answering, as well as Misinformation Detection, and Public Sentiment Analysis. Computer Vision applications cover Medical Image Analysis, Ambient Intelligence, and Vision-based Robotics. Within Life Sciences, our survey looks at how Deep Learning can be applied to Precision Diagnostics, Protein Structure Prediction, and Drug Repurposing. Deep Learning has additionally been utilized in Spread Forecasting for Epidemiology. Our literature review has found many examples of Deep Learning systems to fight COVID-19. We hope that this survey will help accelerate the use of Deep Learning for COVID-19 research.",both,Not specified
33328047,Prediction of systemic biomarkers from retinal photographs: development and validation of deep-learning algorithms,"Rim TH, Lee G, Kim Y, Tham YC, Lee CJ, Baik SJ, Kim YA, Yu M, Deshmukh M, Lee BK, Park S, Kim HC, Sabayanagam C, Ting DSW, Wang YX, Jonas JB, Kim SS, Wong TY, Cheng CY.",Lancet Digit Health. 2020 Oct;2(10):e526-e536. doi: 10.1016/S2589-7500(20)30216-8.,Rim TH,Lancet Digit Health,2020,2020/12/17,,,10.1016/S2589-7500(20)30216-8,"BACKGROUND: The application of deep learning to retinal photographs has yielded promising results in predicting age, sex, blood pressure, and haematological parameters. However, the broader applicability of retinal photograph-based deep learning for predicting other systemic biomarkers and the generalisability of this approach to various populations remains unexplored.
METHODS: With use of 236 257 retinal photographs from seven diverse Asian and European cohorts (two health screening centres in South Korea, the Beijing Eye Study, three cohorts in the Singapore Epidemiology of Eye Diseases study, and the UK Biobank), we evaluated the capacities of 47 deep-learning algorithms to predict 47 systemic biomarkers as outcome variables, including demographic factors (age and sex); body composition measurements; blood pressure; haematological parameters; lipid profiles; biochemical measures; biomarkers related to liver function, thyroid function, kidney function, and inflammation; and diabetes. The standard neural network architecture of VGG16 was adopted for model development.
FINDINGS: In addition to previously reported systemic biomarkers, we showed quantification of body composition indices (muscle mass, height, and bodyweight) and creatinine from retinal photographs. Body muscle mass could be predicted with an R2 of 0·52 (95% CI 0·51-0·53) in the internal test set, and of 0·33 (0·30-0·35) in one external test set with muscle mass measurement available. The R2 value for the prediction of height was 0·42 (0·40-0·43), of bodyweight was 0·36 (0·34-0·37), and of creatinine was 0·38 (0·37-0·40) in the internal test set. However, the performances were poorer in external test sets (with the lowest performance in the European cohort), with R2 values ranging between 0·08 and 0·28 for height, 0·04 and 0·19 for bodyweight, and 0·01 and 0·26 for creatinine. Of the 47 systemic biomarkers, 37 could not be predicted well from retinal photographs via deep learning (R2≤0·14 across all external test sets).
INTERPRETATION: Our work provides new insights into the potential use of retinal photographs to predict systemic biomarkers, including body composition indices and serum creatinine, using deep learning in populations with a similar ethnic background. Further evaluations are warranted to validate these findings and evaluate the clinical utility of these algorithms.
FUNDING: Agency for Science, Technology, and Research and National Medical Research Council, Singapore; Korea Institute for Advancement of Technology.",other,Not specified
33260362,Computer Vision Applied to Detect Lethargy through Animal Motion Monitoring: A Trial on African Swine Fever in Wild Boar,"Fernández-Carrión E, Barasona JÁ, Sánchez Á, Jurado C, Cadenas-Fernández E, Sánchez-Vizcaíno JM.",Animals (Basel). 2020 Nov 29;10(12):2241. doi: 10.3390/ani10122241.,Fernández-Carrión E,Animals (Basel),2020,2020/12/02,PMC7760671,,10.3390/ani10122241,"Early detection of infectious diseases is the most cost-effective strategy in disease surveillance for reducing the risk of outbreaks. Latest deep learning and computer vision improvements are powerful tools that potentially open up a new field of research in epidemiology and disease control. These techniques were used here to develop an algorithm aimed to track and compute animal motion in real time. This algorithm was used in experimental trials in order to assess African swine fever (ASF) infection course in Eurasian wild boar. Overall, the outcomes showed negative correlation between motion reduction and fever caused by ASF infection. In addition, infected animals computed significant lower movements compared to uninfected animals. The obtained results suggest that a motion monitoring system based on artificial vision may be used in indoors to trigger suspicions of fever. It would help farmers and animal health services to detect early clinical signs compatible with infectious diseases. This technology shows a promising non-intrusive, economic and real time solution in the livestock industry with especial interest in ASF, considering the current concern in the world pig industry.",computer vision,Not specified
32365038,Image-Based Food Classification and Volume Estimation for Dietary Assessment: A Review,"Lo FPW, Sun Y, Qiu J, Lo B.",IEEE J Biomed Health Inform. 2020 Jul;24(7):1926-1939. doi: 10.1109/JBHI.2020.2987943. Epub 2020 Apr 30.,Lo FPW,IEEE J Biomed Health Inform,2020,2020/05/05,,,10.1109/JBHI.2020.2987943,"A daily dietary assessment method named 24-hour dietary recall has commonly been used in nutritional epidemiology studies to capture detailed information of the food eaten by the participants to help understand their dietary behaviour. However, in this self-reporting technique, the food types and the portion size reported highly depends on users' subjective judgement which may lead to a biased and inaccurate dietary analysis result. As a result, a variety of visual-based dietary assessment approaches have been proposed recently. While these methods show promises in tackling issues in nutritional epidemiology studies, several challenges and forthcoming opportunities, as detailed in this study, still exist. This study provides an overview of computing algorithms, mathematical models and methodologies used in the field of image-based dietary assessment. It also provides a comprehensive comparison of the state of the art approaches in food recognition and volume/weight estimation in terms of their processing speed, model accuracy, efficiency and constraints. It will be followed by a discussion on deep learning method and its efficacy in dietary assessment. After a comprehensive exploration, we found that integrated dietary assessment systems combining with different approaches could be the potential solution to tackling the challenges in accurate dietary intake assessment.",other,Not specified
31243076,mSphere of Influence: the Rise of Artificial Intelligence in Infection Biology,Yakimovich A.,mSphere. 2019 Jun 26;4(3):e00315-19. doi: 10.1128/mSphere.00315-19.,Yakimovich A,mSphere,2019,2019/06/28,PMC6595147,,10.1128/mSphere.00315-19,"Artur Yakimovich works in the field of computational virology and applies machine learning algorithms to study host-pathogen interactions. In this mSphere of Influence article, he reflects on two papers ""Holographic Deep Learning for Rapid Optical Screening of Anthrax Spores"" by Jo et al. (Y. Jo, S. Park, J. Jung, J. Yoon, et al., Sci Adv 3:e1700606, 2017, https://doi.org/10.1126/sciadv.1700606) and ""Bacterial Colony Counting with Convolutional Neural Networks in Digital Microbiology Imaging"" by Ferrari and colleagues (A. Ferrari, S. Lombardi, and A. Signoroni, Pattern Recognition 61:629-640, 2017, https://doi.org/10.1016/j.patcog.2016.07.016). Here he discusses how these papers made an impact on him by showcasing that artificial intelligence algorithms can be equally applicable to both classical infection biology techniques and cutting-edge label-free imaging of pathogens.",other,Not specified
30473381,A picture tells a thousand…exposures: Opportunities and challenges of deep learning image analyses in exposure science and environmental epidemiology,"Weichenthal S, Hatzopoulou M, Brauer M.",Environ Int. 2019 Jan;122:3-10. doi: 10.1016/j.envint.2018.11.042. Epub 2018 Nov 22.,Weichenthal S,Environ Int,2019,2018/11/27,PMC7615261,EMS189845,10.1016/j.envint.2018.11.042,"BACKGROUND: Artificial intelligence (AI) is revolutionizing our world, with applications ranging from medicine to engineering.
OBJECTIVES: Here we discuss the promise, challenges, and probable data sources needed to apply AI in the fields of exposure science and environmental health. In particular, we focus on the use of deep convolutional neural networks to estimate environmental exposures using images and other complementary data sources such as cell phone mobility and social media information.
DISCUSSION: Characterizing the health impacts of multiple spatially-correlated exposures remains a challenge in environmental epidemiology. A shift toward integrated measures that simultaneously capture multiple aspects of the urban built environment could improve efficiency and provide important insights into how our collective environments influence population health. The widespread adoption of AI in exposure science is on the frontier. This will likely result in new ways of understanding environmental impacts on health and may allow for analyses to be efficiently scaled for broad coverage. Image-based convolutional neural networks may also offer a cost-effective means of estimating local environmental exposures in low and middle-income countries where monitoring and surveillance infrastructure is limited. However, suitable databases must first be assembled to train and evaluate these models and these novel approaches should be complemented with traditional exposure metrics.
CONCLUSIONS: The promise of deep learning in environmental health is great and will complement existing measurements for data-rich settings and could enhance the resolution and accuracy of estimates in data poor scenarios. Interdisciplinary partnerships will be needed to fully realize this potential.",other,Not specified
